symbol,FullName,Exchange
CHMI$B,Cherry Hill Mortgage Investment Corporation 8.250% Series B Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,NYSE
CHNL,Chainlink ETF,Nasdaq
CHNR,"China Natural Resources, Inc. - Common Shares",NASDAQ
CHNU,2x Chainlink ETF,Nasdaq
CHOW,ChowChow Cloud International Holdings Limited Ordinary Shares,NYSE American
CHPG,ChampionsGate Acquisition Corporation - Class A Ordinary Share,NASDAQ
CHPGR,ChampionsGate Acquisition Corporation - Rights,NASDAQ
CHPGU,ChampionsGate Acquisition Corporation - Unit,NASDAQ
CHPS,Xtrackers Semiconductor Select Equity ETF,NASDAQ
CHPT,"ChargePoint Holdings, Inc. Common Stock",NYSE
CHPX,Global X AI Semiconductor & Quantum ETF,NASDAQ
CHPY,YieldMax Semiconductor Portfolio Option Income ETF,NYSE Arca
CHR,"Cheer Holding, Inc.  - Class A Ordinary Share",NASDAQ
CHRD,Chord Energy Corporation - Common Stock,NASDAQ
CHRI,Global X S&P 500 Christian Values ETF,NASDAQ
CHRN,ChronoScale Holdings Corporation - Common Stock,NASDAQ
CHRS,"Coherus Oncology, Inc. - Common Stock",NASDAQ
CHRW,"C.H. Robinson Worldwide, Inc. - Common Stock",NASDAQ
CHSCL,"CHS Inc - Class B Cumulative Redeemable Preferred Stock, Series 4",NASDAQ
CHSCM,"CHS Inc - Class B Reset Rate Cumulative Redeemable Preferred Stock, Series 3",NASDAQ
CHSCN,CHS Inc - Preferred Class B Series 2 Reset Rate,NASDAQ
CHSCO,CHS Inc - Class B Cumulative Redeemable Preferred Stock,NASDAQ
CHSCP,CHS Inc - 8%  Cumulative Redeemable Preferred Stock,NASDAQ
CHSN,Chanson International Holding - Class A Ordinary Shares,NASDAQ
CHT,"Chunghwa Telecom Co., Ltd.",NYSE
CHTR,"Charter Communications, Inc. - Class A Common Stock",NASDAQ
CHTRP,"Charter Communications, Inc. - Series A Cumulative Redeemable Preferred Stock",NASDAQ
CHW,Calamos Global Dynamic Income Fund - Closed End Fund,NASDAQ
CHWY,"Chewy, Inc. Class A Common Stock",NYSE
CHY,Calamos Convertible and High Income Fund - Closed End Fund,NASDAQ
CHYG,Corgi 0-5 Year High Yield Corporate Bond ETF,Nasdaq
CHYM,"Chime Financial, Inc. - Class A Common Stock",NASDAQ
CI,The Cigna Group Common Stock,NYSE
CIA,"Citizens, Inc. Class A Common Stock ($1.00 Par)",NYSE
CIB,Grupo Cibest S.A. American Depositary Shares each representing four Preferred Shares,NYSE
CIBR,First Trust NASDAQ Cybersecurity ETF,NASDAQ
CICB,CION Investment Corporation 7.50% Notes due 2029,NYSE
CICC,CION Investment Corporation 7.50% Notes due 2031,NYSE
CIEG,Leverage Shares 2X Long CIEN Daily ETF,Nasdaq
CIEI,Corgi 3-7 Year Treasury Bond ETF,Nasdaq
CIEN,Ciena Corporation Common Stock,NYSE
CIEX,Tradr 2X Long CIEN Daily ETF,Nasdaq
CIFC,Corgi CIFR 2x Daily ETF,Nasdaq
CIFG,Leverage Shares 2X Long CIFR Daily ETF,NASDAQ
CIFR,Cipher Digital Inc. - Common Stock,NASDAQ
CIFU,T-REX 2X Long CIFR Daily Target ETF,Nasdaq
CIG,Comp En De Mn Cemig ADS American Depositary Shares,NYSE
CIG.C,Comp En De Mn Cemig ADS American Depositary Receipts,NYSE
CIGI,Colliers International Group Inc.  - Subordinate Voting Shares,NASDAQ
CIGL,Concorde International Group Ltd - Class A Ordinary Shares,NASDAQ
CII,"BlackRock Enhanced Large Cap Core Fund, Inc. Common Stock",NYSE
CIIT,"Tianci International, Inc. - Common Stock",NASDAQ
CIK,"UBS Asset Management Income Fund, Inc. Common Stock",NYSE American
CIM,Chimera Investment Corporation Common Stock,NYSE
CIM$A,Chimera Investment Corporation 8.00% Series A Cumulative Redeemable Preferred Stock,NYSE
CIM$B,Chimera Investment Corporation 8.00% Series B Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,NYSE
CIM$C,Chimera Investment Corporation 7.75% Series C Fixed-to-Floating Rate  Cumulative Redeemable  Preferred Stock,NYSE
CIM$D,Chimera Investment Corporation 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,NYSE
CIMN,Chimera Investment Corporation 9.000% Senior Notes due 2029,NYSE
CIMO,Chimera Investment Corporation 9.250% Senior Notes due 2029,NYSE
CIMP,Chimera Investment Corporation 8.875% Senior Notes due 2030,NYSE
CINF,Cincinnati Financial Corporation - Common Stock,NASDAQ
CING,Cingulate Inc. - Common Stock,NASDAQ
CINGW,Cingulate Inc. - Warrants,NASDAQ
CINT,CI&T Inc Class A Common Shares,NYSE
CION,CION Investment Corporation Common Stock,NYSE
CIR,Corgi CRCL 2x Daily ETF,Nasdaq
CIRC,"Circle8 Group, Inc. - Common Stock",NASDAQ
CISO,"CISO Global, Inc. - Common Stock",NASDAQ
CISS,C3is Inc. - Common Stock,NASDAQ
CITR,CitroTech Inc. Common Stock,NYSE American
CIVB,"Civista Bancshares, Inc.  - Common Stock",NASDAQ
CIVG,Corgi 1-5 Year Investment Grade Corporate Bond ETF,Nasdaq
CIX,CompX International Inc. Common Stock,NYSE American
CJMB,Callan JMB Inc. - Common Stock,NASDAQ
CJUL,Corgi U.S. Equities 15% Structured Buffer ETF - July Series,Nasdaq
CJUN,Corgi U.S. Equities 15% Structured Buffer ETF - June Series,Nasdaq
CKX,"CKX Lands, Inc. Common Stock",NYSE American
CL,Colgate-Palmolive Company Common Stock,NYSE
CLAR,Clarus Corporation - Common Stock,NASDAQ
CLB,Core Laboratories Inc. Common Stock,NYSE
CLBK,"Columbia Financial, Inc. - Common Stock",NASDAQ
CLBR,Colombier Acquisition Corp. III Class A Ordinary Shares,NYSE
CLBR.U,"Colombier Acquisition Corp. III Units, each consisting of one Class A ordinary share and one-eighth of one warrant",NYSE
CLBR.W,"Colombier Acquisition Corp. III Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50 per share",NYSE
CLBT,Cellebrite DI Ltd. - Ordinary Shares,NASDAQ
CLCG,Crossmark Large Cap Growth ETF,NYSE Arca
CLCV,Crossmark Large Cap Value ETF,NYSE Arca
CLDI,"Calidi Biotherapeutics, Inc. Common Stock",NYSE American
CLDT,Chatham Lodging Trust (REIT) Common Shares of Beneficial Interest,NYSE
CLDT$A,Chatham Lodging Trust (REIT) 6.625% Series A Cumulative Redeemable Preferred Shares of Beneficial Interest,NYSE
CLDX,"Celldex Therapeutics, Inc. - Common Stock",NASDAQ
CLF,Cleveland-Cliffs Inc. Common Stock,NYSE
CLFD,"Clearfield, Inc. - Common Stock",NASDAQ
CLGN,CollPlant Biotechnologies Ltd. - Ordinary Shares,NASDAQ
CLH,"Clean Harbors, Inc. Common Stock",NYSE
CLIK,Click Holdings Limited - Ordinary Share,NASDAQ
CLIM,Climate Global - Climate Resilient REIT Index ETF,NYSE Arca
CLIP,Global X 1-3 Month T-Bill ETF,NYSE Arca
CLIR,ClearSign Technologies Corporation - Common Stock,NASDAQ
CLIX,ProShares Long Online/Short Stores ETF,NYSE Arca
CLLS,Cellectis S.A. - American Depositary Shares,NASDAQ
CLM,"Cornerstone Strategic Investment Fund, Inc. Common Shares",NYSE American
CLMB,"Climb Global Solutions, Inc. - Common Stock",NASDAQ
CLMT,"Calumet, Inc - Common Stock",NASDAQ
CLNE,Clean Energy Fuels Corp. - Common Stock,NASDAQ
CLNK,Common Shares of Beneficial Interest of Bitwise Chainlink ETF,NYSE Arca
CLNN,Clene Inc. - Common Stock,NASDAQ
CLOA,iShares AAA CLO Active ETF,NASDAQ
CLOB,VanEck AA-BB CLO ETF,NYSE Arca
CLOC,AAM Crescent CLO ETF,NYSE Arca
CLOD,Themes Cloud Computing ETF,NASDAQ
CLOI,VanEck CLO ETF,NYSE Arca
CLOO,NYLIM Investment Grade CLO ETF,NYSE Arca
CLOU,Global X Cloud Computing ETF,NASDAQ
CLOV,"Clover Health Investments, Corp.  - Class A Common stock",NASDAQ
CLOX,Eldridge AAA CLO ETF,NYSE Arca
CLOZ,Eldridge BBB-B CLO ETF,NYSE Arca
CLPR,Clipper Realty Inc. Common Stock,NYSE
CLPS,CLPS Incorporation - Common Stock,NASDAQ
CLPT,ClearPoint Neuro Inc. - Common Stock,NASDAQ
CLRB,"Cellectar Biosciences, Inc. - Common Stock",NASDAQ
CLRO,"ClearOne, Inc. - Common Stock",NASDAQ
CLS,"Celestica, Inc. Common Stock",NYSE
CLSE,Convergence Long/Short Equity ETF,Nasdaq
CLSK,"CleanSpark, Inc. - Common Stock",NASDAQ
CLSKW,"CleanSpark, Inc. - Warrant",NASDAQ
CLSM,ETC Cabana Target Leading Sector Moderate ETF,NASDAQ
CLST,"Catalyst Bancorp, Inc. - common stock",NASDAQ
CLSX,Tradr 2X Long CLSK Daily ETF,Nasdaq
CLUB,Billionaires Club ETF,NYSE Arca
CLVT,Clarivate Plc Ordinary Shares,NYSE
CLW,Clearwater Paper Corporation Common Stock,NYSE
CLWT,Euro Tech Holdings Company Limited - Ordinary Shares,NASDAQ
CLX,Clorox Company (The) Common Stock,NYSE
CLYM,"Climb Bio, Inc. - Common Stock",NASDAQ
CM,Canadian Imperial Bank of Commerce Common Stock,NYSE
CMAG,Corgi Mag 7 ETF,Nasdaq
CMAY,Corgi U.S. Equities 15% Structured Buffer ETF - May Series,Nasdaq
CMBO,Wayfinder Dynamic U.S. Interest Rate ETF,NASDAQ
CMBS,iShares CMBS Bond ETF,NYSE Arca
CMBT,CMB.TECH NV Ordinary Shares,NYSE
CMC,Commercial Metals Company Common Stock,NYSE
CMCI,VanEck CMCI Commodity Strategy ETF,Nasdaq
CMCL,Caledonia Mining Corporation Plc Common Shares,NYSE American
CMCM,"Cheetah Mobile Inc. American Depositary Shares, each representing fifty (50) Class A Ordinary Shares",NYSE
CMCO,Columbus McKinnon Corporation - Common Stock,NASDAQ
CMCSA,Comcast Corporation - Class A Common Stock,NASDAQ
CMCT,Creative Media  - Common Stock,NASDAQ
CMDB,Costamare Bulkers Holdings Limited Common Stock,NYSE
CMDT,PIMCO Commodity Strategy Active Exchange-Traded Fund,NYSE Arca
CMDY,iShares Bloomberg Roll Select Commodity Strategy ETF,NYSE Arca
CME,CME Group Inc. - Class A Common Stock,NASDAQ
CMF,iShares California Muni Bond ETF,NYSE Arca
CMG,"Chipotle Mexican Grill, Inc. Common Stock",NYSE
CMI,Cummins Inc. Common Stock,NYSE
CMMB,Chemomab Therapeutics Ltd.  - American Depositary Shares,NASDAQ
CMND,Clearmind Medicine Inc. - Common Shares,NASDAQ
CMP,Compass Minerals Intl Inc Common Stock,NYSE
CMPR,Cimpress plc - Ordinary Shares,NASDAQ
CMPS,COMPASS Pathways Plc - American Depository Shares,NASDAQ
CMPX,"Compass Therapeutics, Inc. - Common Stock",NASDAQ
CMRC,"Commerce.com, Inc. - Series 1 Common Stock",NASDAQ
CMRE,Costamare Inc. Common Stock $0.0001 par value,NYSE
CMRE$B,Costamare Inc. Perpetual Preferred Stock Series B (Marshall Islands),NYSE
CMRE$C,Costamare Inc. Perpetual Preferred Series C (Marshall Islands),NYSE
CMRE$D,Costamare Inc. 8.75% Series D Cumulative Redeemable Perpetual Preferred Stock,NYSE
CMS,CMS Energy Corporation Common Stock,NYSE
CMS$B,CMS Energy Corporation Preferred Stock,NYSE
CMS$C,"CMS Energy Corporation Depositary Shares, each representing a 1/1,000th interest in a share of 4.200% Cumulative Redeemable Perpetual Preferred Stock, Series C",NYSE
CMSA,CMS Energy Corporation 5.625% Junior Subordinated Notes due 2078,NYSE
CMSC,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2078,NYSE
CMSD,CMS Energy Corporation 5.875% Junior Subordinated Notes due 2079,NYSE
CMT,Core Molding Technologies Inc Common Stock,NYSE American
CMTG,"Claros Mortgage Trust, Inc. Common Stock",NYSE
CMTL,Comtech Telecommunications Corp. - Common Stock,NASDAQ
CMTV,Community Bancorp.  - Common stock,NASDAQ
CNA,CNA Financial Corporation Common Stock,NYSE
CNAV,Mohr Company Nav ETF,Nasdaq
CNBS,Amplify Seymour Cannabis ETF,NYSE Arca
CNC,Centene Corporation Common Stock,NYSE
CNCK,Coincheck Group N.V. - Ordinary Shares,NASDAQ
CNCKW,Coincheck Group N.V. - Warrants,NASDAQ
CNDT,Conduent Incorporated - Common Stock,NASDAQ
CNEQ,Alger Concentrated Equity ETF,NYSE Arca
CNET,ZW Data Action Technologies Inc. - Common Stock,NASDAQ
CNEY,CN Energy Group Inc. - Class A Ordinary Shares,NASDAQ
CNF,"CNFinance Holdings Limited American Depositary Shares, each representing two hundred (200) Ordinary Shares",NYSE
CNH,CNH Industrial N.V. Common Shares,NYSE
CNI,Canadian National Railway Company Common Stock,NYSE
CNK,"Cinemark Holdings Inc Cinemark Holdings, Inc. Common Stock",NYSE
CNL,Collective Mining Ltd. - Common Stock,NASDAQ
CNM,"Core & Main, Inc. Class A Common Stock",NYSE
CNMD,CONMED Corporation Common Stock,NYSE
CNNE,"Cannae Holdings, Inc. Common Stock",NYSE
CNO,"CNO Financial Group, Inc. Common Stock",NYSE
CNO$A,"CNO Financial Group, Inc. 5.125% Subordinated Debentures due 2060",NYSE
CNOB,"ConnectOne Bancorp, Inc. - Common Stock",NASDAQ
CNOBP,"ConnectOne Bancorp, Inc. - Depositary Shares (each representing a 1/40th interest in a share of 5.25% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock, Series A, par value $0.00 per share)",NASDAQ
CNP,"CenterPoint Energy, Inc (Holding Co) Common Stock",NYSE
CNQ,Canadian Natural Resources Limited Common Stock,NYSE
CNQQ,Rayliant-ChinaAMC Transformative China Tech ETF,NASDAQ
CNR,"Core Natural Resources, Inc. Common Stock",NYSE
CNRG,State Street SPDR S&P Kensho Clean Power ETF,NYSE Arca
CNS,Cohen & Steers Inc Common Stock,NYSE
CNSP,"CNS Pharmaceuticals, Inc. - Common Stock",NASDAQ
CNSY,"Cerenome, Inc. - Common Stock",NASDAQ
CNTB,Connect Biopharma Holdings Limited - Ordinary Shares,NASDAQ
CNTN,"Canton Strategic Holdings, Inc. - Common Stock",NASDAQ
CNTX,Context Therapeutics Inc. - Common Stock,NASDAQ
CNTY,"Century Casinos, Inc. - Common Stock",NASDAQ
CNVS,Cineverse Corp. - Class A Common Stock,NASDAQ
CNX,CNX Resources Corporation Common Stock,NYSE
CNXC,Concentrix Corporation - Common Stock,NASDAQ
CNXN,"PC Connection, Inc. - Common Stock",NASDAQ
CNXT,VanEck ChiNext Innovators ETF,NYSE Arca
CNXU,Conexeu Sciences Inc. - Common Stock,NASDAQ
CNYA,iShares MSCI China A ETF,Nasdaq
COAG,"Hemab Therapeutics Holdings, Inc. - Common Stock",NASDAQ
COAL,Range Global Coal Index ETF,NYSE Arca
COCH,"Envoy Medical, Inc. - Class A Common Stock",NASDAQ
COCHW,"Envoy Medical, Inc. - Warrant",NASDAQ
COCO,"The Vita Coco Company, Inc. - Common Stock",NASDAQ
COCP,"Cocrystal Pharma, Inc. - Common Stock",NASDAQ
CODA,"Coda Octopus Group, Inc. - Common stock",NASDAQ
CODI,D/B/A Compass Diversified Holdings Shares of Beneficial Interest,NYSE
CODI$A,Compass Diversified Holdings 7.250% Series A Preferred Shares representing beneficial interest in Compass Diversified Holdings,NYSE
CODI$B,Compass Diversified Holdings 7.875% Series B Fixed-to-Floating Rate Cumulative Preferred Shares representing beneficial interests in Compass Diversified Holdings,NYSE
CODI$C,Compass Diversified Holdings 7.875% Series C Cumulative Preferred Shares,NYSE
CODX,"Co-Diagnostics, Inc. - Common Stock",NASDAQ
COE,"51Talk Online Education Group American depositary shares, each representing 60 Class A ordinary shares",NYSE American
COF,Capital One Financial Corporation Common Stock,NYSE
COF$I,"Capital One Financial Corporation Depositary shares each representing a 1/40th interest in a share of Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series I of the Issuer",NYSE
COF$J,"Capital One Financial Corporation Depositary Shares, Each Representing a 1/40th Interest in a Share of Fixed Rate Non- Cumulative Perpetual Preferred Stock, Series J",NYSE
COF$K,"Capital One Financial Corporation Depositary Shares, Each Representing a 1/40th Ownership Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series K",NYSE
COF$L,"Capital One Financial Corporation Depositary Shares, Each Representing a 1/40th Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series L",NYSE
COF$N,"Capital One Financial Corporation Depositary Shares, Each Representing a 1/40th Ownership Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series N",NYSE
COFS,"ChoiceOne Financial Services, Inc. - Common Stock",NASDAQ
COGT,"Cogent Biosciences, Inc. - Common Stock",NASDAQ
COHC,Corgi COHR 2x Daily ETF,Nasdaq
COHH,Leverage Shares 2X Long COHR Daily ETF,Nasdaq
COHN,Cohen & Company Inc.,NYSE American
COHQ,Tradr 2X Short COHR Daily ETF,Nasdaq
COHR,Coherent Corp. Common Stock,NYSE
COHU,"Cohu, Inc. - Common Stock",NASDAQ
COHX,Tradr 2X Long COHR Daily ETF,Nasdaq
COIA,ProShares Ultra COIN,NYSE Arca
COIG,Leverage Shares 2X Long COIN Daily ETF,NASDAQ
COIN,"Coinbase Global, Inc. - Class A Common Stock",NASDAQ
COIW,Roundhill COIN WeeklyPay ETF,Nasdaq
COIX,Corgi COIN 2x Daily ETF,Nasdaq
COKE,"Coca-Cola Consolidated, Inc. - Common Stock",NASDAQ
COLA,Columbus Acquisition Corp - Ordinary Shares,NASDAQ
COLAR,Columbus Acquisition Corp - Rights,NASDAQ
COLAU,Columbus Acquisition Corp - Unit,NASDAQ
COLB,"Columbia Banking System, Inc. - Common Stock",NASDAQ
COLD,"Americold Realty Trust, Inc. Common Stock",NYSE
COLL,"Collegium Pharmaceutical, Inc. - Common Stock",NASDAQ
COLM,Columbia Sportswear Company - Common Stock,NASDAQ
COLO,Global X MSCI Colombia ETF,NYSE Arca
COM,Direxion Auspice Broad Commodity Strategy ETF,NYSE Arca
COMB,GraniteShares Bloomberg Commodity Broad Strategy No K-1 ETF,NYSE Arca
COMD,Global X Commodity Strategy ETF,Nasdaq
COMP,"Compass, Inc. Class A Common Stock",NYSE
COMT,iShares GSCI Commodity Dynamic Roll Strategy ETF,NASDAQ
CON,"Concentra Group Holdings Parent, Inc. Common Stock",NYSE
CONI,GraniteShares 2x Short COIN Daily ETF,NASDAQ
CONL,GraniteShares 2x Long COIN Daily ETF,NASDAQ
CONX,Direxion Daily COIN Bull 2X ETF,NASDAQ
CONY,YieldMax COIN Option Income Strategy ETF,NYSE Arca
COO,"The Cooper Companies, Inc.  - Common Stock",NASDAQ
COOK,"Traeger, Inc. Common Stock",NYSE
COOL,"VegaShares AI Thermal, Cooling & Power Management ETF",NASDAQ
COOT,Australian Oilseeds Holdings Limited - Ordinary Shares,NASDAQ
COOTW,Australian Oilseeds Holdings Limited - Warrant,NASDAQ
COP,ConocoPhillips Common Stock,NYSE
COPA,Themes Copper Miners ETF,Nasdaq
COPJ,Sprott Junior Copper Miners ETF,NASDAQ
COPL,Copley Acquisition Corp Ordinary Shares,NYSE
COPL.U,"Copley Acquisition Corp Units, each consisting of one ordinary share and one-half warrant",NYSE
COPL.W,"Copley Acquisition Corp Redeemable warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50",NYSE
COPP,Sprott Copper Miners ETF,NASDAQ
COPR,Idaho Copper Corporation Common Stock,NYSE American
COPR.W,Idaho Copper Corporation Common Stock Purchase Warrant,NYSE American
COPX,Global X Copper Miners ETF,NYSE Arca
COPY,"Tweedy, Browne Insider + Value ETF",NYSE Arca
COPZ,Defiance Daily Target 2X Long Copper Miners ETF,NYSE Arca
COR,"Cencora, Inc. Common Stock",NYSE
CORB,AB Core Bond ETF,NYSE Arca
CORD,T-REX 2X Inverse CRWV Daily Target ETF,Nasdaq
CORN,Teucrium Corn Fund ETV,NYSE Arca
CORO,iShares International Country Rotation Active ETF,NASDAQ
CORP,PIMCO Investment Grade Corporate Bond Index Exchange-Traded Fund,NYSE Arca
CORT,Corcept Therapeutics Incorporated - Common Stock,NASDAQ
CORZ,"Core Scientific, Inc. - Common Stock",NASDAQ
CORZW,"Core Scientific, Inc. - Tranche 1 Warrants",NASDAQ
CORZZ,"Core Scientific, Inc. - Tranche 2 Warrants",NASDAQ
COSM,Cosmos Health Inc. - Common Stock,NASDAQ
COSO,"CoastalSouth Bancshares, Inc. Common Stock",NYSE
COST,Costco Wholesale Corporation - Common Stock,NASDAQ
COSW,Roundhill COST WeeklyPay ETF,Nasdaq
COTG,Leverage Shares 2X Long COST Daily ETF,NASDAQ
COTY,Coty Inc. Class A Common Stock,NYSE
COUR,"Coursera, Inc. Common Stock",NYSE
COWG,Pacer US Large Cap Cash Cows Growth Leaders ETF,NASDAQ
COWS,Amplify Cash Flow Dividend Leaders ETF,NASDAQ
COWZ,Pacer US Cash Cows 100 ETF,Nasdaq
COYA,"Coya Therapeutics, Inc. - Common Stock",NASDAQ
COYY,GraniteShares YieldBOOST COIN ETF,NASDAQ
COZX,Tradr 2X Long CORZ Daily ETF,Nasdaq
CP,Canadian Pacific Kansas City Limited Common Shares,NYSE
CPA,"Copa Holdings, S.A. Class A Common Stock",NYSE
CPAC,Cementos Pacasmayo S.A.A. American Depositary Shares (Each representing five Common Shares),NYSE
CPAG,F/m Compoundr U.S. Aggregate Bond ETF,NASDAQ
CPAI,Counterpoint Quantitative Equity ETF,NYSE
CPAY,"Corpay, Inc. Common Stock",NYSE
CPB,The Campbell's Company - Common Stock,NASDAQ
CPBI,"Central Plains Bancshares, Inc. - Common Stock",NASDAQ
CPER,United States Copper Index Fund ETV,NYSE Arca
CPF,Central Pacific Financial Corp New,NYSE
CPHC,Canterbury Park Holding Corporation - Common Stock,NASDAQ
CPHI,"China Pharma Holdings, Inc. Common Stock",NYSE American
CPHY,F/m Compoundr High Yield Bond ETF,NASDAQ
CPII,American Beacon Ionic Inflation Protection ETF,NYSE Arca
CPIX,Cumberland Pharmaceuticals Inc. - Common Stock,NASDAQ
CPK,Chesapeake Utilities Corporation Common Stock,NYSE
CPLB,NYLIM MacKay Core Plus Bond ETF,NYSE Arca
CPLS,AB Core Plus Bond ETF,NASDAQ
CPNG,"Coupang, Inc. Class A Common Stock",NYSE
CPNJ,Calamos Nasdaq - 100 Structured Alt Protection ETF -June,NYSE Arca
CPNM,Calamos Nasdaq-100 Structured Alt Protection ETF - March,NYSE Arca
CPNQ,Calamos Nasdaq-100 Structured Alt Protection ETF December,NYSE Arca
CPNS,Calamos Nasdaq-100 Structured Alt Protection ETF  September,NYSE Arca
CPNX,Tradr 2X Long CPNG Daily ETF,Nasdaq
CPOP,"Pop Culture Group Co., Ltd - Class A Ordinary Shares",NASDAQ
CPRA,Calamos Russell 2000 Structured Alt Protection ETF - April,NYSE Arca
CPRI,Capri Holdings Limited Ordinary Shares,NYSE
CPRJ,Calamos Russell 2000 Structured Alt Protection ETF  July,NYSE Arca
CPRO,Calamos Russell 2000 Structured Alt Protection ETF - October,NYSE Arca
CPRT,"Copart, Inc. - Common Stock",NASDAQ
CPRY,Calamos Russell 2000 Structured Alt Protection ETF January,NYSE Arca
CPS,Cooper-Standard Holdings Inc. Common Stock,NYSE
CPSA,Calamos S&P 500 Structured Alt Protection ETF  August,NYSE Arca
CPSD,Calamos S&P 500 Structured Alt Protection ETF December,NYSE Arca
CPSF,Calamos S&P 500 Structured Alt Protection ETF February,NYSE Arca
CPSH,CPS Technologies Corp. - Common Stock,NASDAQ
CPSJ,Calamos S&P 500 Structured Alt Protection ETF  July,NYSE Arca
CPSL,Calamos Laddered S&P 500 Structured Alt Protection ETF,Nasdaq
CPSM,Calamos S&P 500 Structured Alt Protection ETF  May,NYSE Arca
CPSN,Calamos S&P 500 Structured Alt Protection ETF November,NYSE Arca
CPSO,Calamos S&P 500 Structured Alt Protection ETF - October,NYSE Arca
CPSP,Calamos S&P 500 Structured Alt Protection ETF - April,NYSE Arca
CPSR,Calamos S&P 500 Structured Alt Protection ETF - March,NYSE Arca
CPSS,"Consumer Portfolio Services, Inc. - Common Stock",NASDAQ
CPST,Calamos S&P 500 Structured Alt Protection ETF  September,NYSE Arca
CPSU,Calamos S&P 500 Structured Alt Protection ETF June,NYSE Arca
CPSY,Calamos S&P 500 Structured Alt Protection ETF January,NYSE Arca
CPT,Camden Property Trust Common Stock,NYSE
CPTL,Global X Morningstar Capital Allocation Leaders ETF,NASDAQ
CPXR,USCF Daily Target 2X Copper Index ETF,NYSE Arca
CPZ,Calamos Long/Short Equity & Dynamic Income Trust - Closed End Fund,NASDAQ
CQP,"Cheniere Energy Partners, LP Common Units",NYSE
CQQQ,Invesco China Technology ETF,NYSE Arca
CQTM,Corgi Quantum Computing ETF,Nasdaq
CR,Crane Company Common Stock,NYSE
CRAC,Crown Reserve Acquisition Corp. I - Class A Ordinary Shares,NASDAQ
CRACR,Crown Reserve Acquisition Corp. I - Rights,NASDAQ
CRACU,Crown Reserve Acquisition Corp. I - Unit,NASDAQ
CRACW,Crown Reserve Acquisition Corp. I - Warrant,NASDAQ
CRAI,"CRA International,Inc. - Common Stock",NASDAQ
CRAK,VanEck Oil Refiners ETF,NYSE Arca
CRAN,Crane Harbor Acquisition Corp. II - Class A Ordinary Shares,NASDAQ
CRANR,Crane Harbor Acquisition Corp. II - Rights,NASDAQ
CRANU,Crane Harbor Acquisition Corp. II - Units,NASDAQ
CRAQ,Cal Redwood Acquisition Corp. - Class A Ordinary Shares,NASDAQ
CRAQR,Cal Redwood Acquisition Corp. - Right,NASDAQ
CRAQU,Cal Redwood Acquisition Corp. - Units,NASDAQ
CRBD,Corebridge Financial Inc. 6.375% Junior Subordinated Notes due 2064,NYSE
CRBG,Corebridge Financial Inc. Common Stock,NYSE
CRBN,iShares Low Carbon Optimized MSCI ACWI ETF,NYSE Arca
CRBP,"Corbus Pharmaceuticals Holdings, Inc. - Common Stock",NASDAQ
CRBU,"Caribou Biosciences, Inc. - Common Stock",NASDAQ
CRC,California Resources Corporation Common Stock,NYSE
CRCA,ProShares Ultra CRCL,NYSE Arca
CRCD,T-REX 2X Inverse CRCL Daily Target ETF,Nasdaq
CRCG,Leverage Shares 2X Long CRCL Daily ETF,NASDAQ
CRCL,"Circle Internet Group, Inc. Class A Common Stock",NYSE
CRCO,YieldMax CRCL Option Income Strategy ETF,NYSE Arca
CRCT,"Cricut, Inc. - Class A common stock",NASDAQ
CRD,Corgi CRDO 2x Daily ETF,Nasdaq
CRD.A,Crawford & Company Common Stock,NYSE
CRD.B,Crawford & Company Common Stock,NYSE
CRDD,Cardano ETF,Nasdaq
CRDF,"Cardiff Oncology, Inc. - Common Stock",NASDAQ
CRDL,Cardiol Therapeutics Inc. - Class A Common Shares,NASDAQ
CRDO,Credo Technology Group Holding Ltd - Ordinary Shares,NASDAQ
CRDT,Simplify Opportunistic Income ETF,NYSE Arca
CRDU,Tradr 2X Long CRDO Daily ETF,Nasdaq
CRDX,2x Cardano ETF,Nasdaq
CRE,Cre8 Enterprise Limited - Class A Ordinary Shares,NASDAQ
CRESY,"Cresud S.A.C.I.F. y A. - American Depositary Shares, each representing ten shares of Common Stock",NASDAQ
CREX,"Creative Realities, Inc. - Common Stock",NASDAQ
CRF,"Cornerstone Total Return Fund, Inc. (The) Common Stock",NYSE American
CRGO,Freightos Limited - Ordinary shares,NASDAQ
CRGOW,Freightos Limited - Warrants,NASDAQ
CRGY,Crescent Energy Company Class A Common Stock,NYSE
CRH,CRH PLC Ordinary Shares,NYSE
CRI,"Carter's, Inc. Common Stock",NYSE
CRIB,Russell Investments Global Real Estate ETF,NYSE Arca
CRIS,"Curis, Inc. - Common Stock",NASDAQ
